,oWP_Start,oWP_End,WP_0001,WP_0002,WP_0003,WP_0004,WP_0005,WP_0006,WP_0007,WP_0008,WP_0009,WP_0010,WP_0011,WP_0012,WP_0013,WP_0014,WP_0015,WP_0016,WP_0017,WP_0018,WP_0019,WP_0020,WP_0021,WP_0022,WP_0023,WP_0024,WP_0025,WP_0026,WP_0027,WP_0028,WP_0029,WP_0030,WP_0031,WP_0032,WP_0033,WP_0034,WP_0035,WP_0036,WP_0037,WP_0038,WP_0039,WP_0040,WP_0041,WP_0042,WP_0043,WP_0044,WP_0045,WP_0046,WP_0047,WP_0048,WP_0049,WP_0050,WP_0051,WP_0052,WP_0053,WP_0054,WP_0055,WP_0056,WP_0057,WP_0058,WP_0059,WP_0060,WP_0061,WP_0062,WP_0063,WP_0064,WP_0065,WP_0066,WP_0067,WP_0068,WP_0069,WP_0070,WP_0071,WP_0072,WP_0073,WP_0074,WP_0075,WP_0076,WP_0077,WP_0078,WP_0079,WP_0080,WP_0081,WP_0082,WP_0083,WP_0084,WP_0085,WP_0086,WP_0087,WP_0088,WP_0089,WP_0090,WP_0091,WP_0092,WP_0093,WP_0094,WP_0095,WP_0096,WP_0097,WP_0098,WP_0099,WP_0100,WP_0101,WP_0102,WP_0103,WP_0104,WP_0105,WP_0106,WP_0107,WP_0108,WP_0109,WP_0110,WP_0111,WP_0112,WP_0113,WP_0114,WP_0115,WP_0116,WP_0117,WP_0118,WP_0119,WP_0120,WP_0121,WP_0122,WP_0123,WP_0124,WP_0125,WP_0126,WP_0127,WP_0128,WP_0129,WP_0130,WP_0131,WP_0132,WP_0133,WP_0134,WP_0135,WP_0136,WP_0137,WP_0138,WP_0139,WP_0140,WP_0141,WP_0142,WP_0143,WP_0144,WP_0145,WP_0146,WP_0147,WP_0148,WP_0149,WP_0150,WP_0151,WP_0152,WP_0153,WP_0154,WP_0155,WP_0156,WP_0157,WP_0158,WP_0159,WP_0160,WP_0161,WP_0162,WP_0163,WP_0164,WP_0165,WP_0166,WP_0167,WP_0168
oWP_Start,0,1,23.51,20.51,17.51,14.51,11.51,8.51,5.51,5.21,8.21,11.21,14.21,17.21,20.21,23.21,23.56,20.57,17.58,14.6,11.64,8.71,5.98,5.68,8.41,11.33,14.3,17.28,20.27,23.26,27.13,24.13,21.13,18.13,15.13,12.13,9.13,8.98,11.98,14.98,17.98,20.98,23.98,26.98,27.18,24.19,21.2,18.22,15.25,12.33,9.6,9.45,12.18,15.1,18.07,21.05,24.04,27.03,31.31,28.31,25.31,22.31,19.31,16.31,13.31,13.22,16.21,19.21,22.21,25.21,28.21,31.21,31.36,28.36,25.38,22.4,19.43,16.5,13.78,13.68,16.41,19.34,22.3,25.28,28.27,31.26,35.61,32.61,29.61,26.61,23.61,20.61,17.61,17.54,20.54,23.54,26.54,29.54,32.54,35.54,35.66,32.66,29.68,26.7,23.73,20.8,18.08,18.01,20.74,23.66,26.63,29.61,32.6,35.59,39.95,36.95,33.95,30.95,27.95,24.95,21.95,21.9,24.9,27.9,30.9,33.9,36.9,39.9,40,37.01,34.02,31.04,28.07,25.15,22.42,22.37,25.09,28.02,30.99,33.97,36.95,39.95,44.31,41.31,38.31,35.31,32.31,29.31,26.31,26.27,29.27,32.27,35.27,38.27,41.27,44.27,44.36,41.37,38.38,35.4,32.44,29.51,26.78,26.74,29.47,32.39,35.36,38.34,41.33,44.32
oWP_End,1,0,22.8,19.8,16.8,13.8,10.8,7.8,4.8,6,9,12,15,18,21,24,22.85,19.86,16.87,13.89,10.92,8,5.27,6.46,9.19,12.12,15.09,18.07,21.05,24.04,26.8,23.8,20.8,17.8,14.8,11.8,8.8,9.39,12.38,15.38,18.38,21.38,24.38,27.38,26.85,23.86,20.87,17.89,14.92,12,9.27,9.85,12.58,15.51,18.47,21.45,24.44,27.43,31.1,28.1,25.1,22.1,19.1,16.1,13.1,13.47,16.47,19.47,22.47,25.47,28.47,31.47,31.15,28.16,25.17,22.19,19.22,16.3,13.57,13.94,16.67,19.59,22.56,25.54,28.53,31.52,35.46,32.46,29.46,26.46,23.46,20.46,17.46,17.73,20.73,23.73,26.73,29.73,32.73,35.73,35.5,32.51,29.53,26.55,23.58,20.65,17.93,18.2,20.92,23.85,26.82,29.8,32.78,35.77,39.83,36.83,33.83,30.83,27.83,24.83,21.83,22.05,25.04,28.04,31.04,34.04,37.04,40.04,39.88,36.89,33.9,30.92,27.96,25.03,22.3,22.51,25.24,28.17,31.13,34.11,37.1,40.09,44.22,41.22,38.22,35.22,32.22,29.22,26.22,26.39,29.39,32.39,35.39,38.39,41.39,44.39,44.27,41.27,38.29,35.31,32.34,29.41,26.69,26.86,29.59,32.51,35.48,38.46,41.45,44.44
WP_0001,23.51,22.8,0,3,6,9,12,15,18,27,30,33,36,39,42,45,1.3,3.27,6.14,9.09,12.07,15.06,18.05,27.03,30.03,33.03,36.02,39.02,42.02,45.02,7.06,10.06,13.06,16.06,19.06,22.06,24.64,27.79,30.79,33.79,36.79,39.79,42.79,45.79,7.53,10.26,13.18,16.15,19.13,22.12,25.11,28.24,30.99,33.91,36.88,39.86,42.85,45.84,11.46,14.46,17.46,20.46,23.46,26.46,29.04,30.77,33.77,36.77,39.77,42.77,45.77,48.77,11.93,14.66,17.58,20.55,23.53,26.52,29.51,31.24,33.96,36.89,39.86,42.84,45.82,48.82,15.86,18.86,21.86,24.86,27.86,30.86,33.44,34.59,37.59,40.59,43.59,46.59,49.59,52.59,16.33,19.06,21.98,24.95,27.93,30.92,33.91,35.06,37.79,40.71,43.68,46.66,49.65,52.64,20.26,23.26,26.26,29.26,32.26,35.26,37.84,38.7,41.69,44.69,47.69,50.69,53.69,56.69,20.73,23.46,26.38,29.35,32.33,35.32,38.31,39.16,41.89,44.82,47.78,50.76,53.75,56.74,24.66,27.66,30.66,33.66,36.66,39.66,42.24,42.92,45.92,48.92,51.92,54.92,57.92,60.92,25.13,27.86,30.78,33.75,36.73,39.72,42.71,43.39,46.11,49.04,52.01,54.99,57.97,60.97
WP_0002,20.51,19.8,3,0,3,6,9,12,15,24,27,30,33,36,39,42,3.27,1.3,3.27,6.14,9.09,12.07,15.06,24.04,27.03,30.03,33.03,36.02,39.02,42.02,9.79,12.79,15.79,18.79,21.79,24.65,21.65,24.8,27.8,30.8,33.8,36.8,39.8,42.8,10.26,12.99,15.91,18.88,21.86,24.85,22.12,25.25,28,30.92,33.89,36.87,39.86,42.85,14.19,17.19,20.19,23.19,26.19,29.05,26.05,27.78,30.78,33.78,36.78,39.78,42.78,45.78,14.66,17.39,20.31,23.28,26.26,29.25,26.52,28.25,30.97,33.9,36.87,39.85,42.83,45.82,18.59,21.59,24.59,27.59,30.59,33.45,30.45,31.6,34.6,37.6,40.6,43.6,46.6,49.6,19.06,21.79,24.71,27.68,30.66,33.65,30.92,32.07,34.79,37.72,40.69,43.67,46.65,49.65,22.99,25.99,28.99,31.99,34.99,37.85,34.85,35.7,38.7,41.7,44.7,47.7,50.7,53.7,23.46,26.19,29.11,32.08,35.06,38.05,35.32,36.17,38.9,41.83,44.79,47.77,50.76,53.75,27.39,30.39,33.39,36.39,39.39,42.25,39.25,39.93,42.93,45.93,48.93,51.92,54.92,57.92,27.86,30.59,33.51,36.48,39.46,42.45,39.72,40.4,43.12,46.05,49.01,52,54.98,57.97
WP_0003,17.51,16.8,6,3,0,3,6,9,12,21,24,27,30,33,36,39,6.14,3.27,1.3,3.27,6.14,9.09,12.07,21.04,24.04,27.03,30.03,33.03,36.02,39.02,12.72,15.71,18.71,21.71,24.66,21.66,18.66,21.81,24.81,27.81,30.81,33.81,36.81,39.81,13.18,15.91,18.84,21.8,24.78,21.86,19.13,22.26,25.01,27.93,30.9,33.88,36.87,39.86,17.12,20.11,23.11,26.11,29.06,26.06,23.06,24.79,27.79,30.79,33.79,36.79,39.79,42.79,17.58,20.31,23.24,26.2,29.18,26.26,23.53,25.26,27.99,30.91,33.88,36.86,39.85,42.84,21.52,24.51,27.51,30.51,33.46,30.46,27.46,28.61,31.61,34.61,37.61,40.61,43.61,46.61,21.98,24.71,27.64,30.6,33.58,30.66,27.93,29.08,31.81,34.73,37.7,40.68,43.67,46.66,25.92,28.91,31.91,34.91,37.86,34.86,31.86,32.72,35.71,38.71,41.71,44.71,47.71,50.71,26.38,29.11,32.04,35,37.98,35.06,32.33,33.18,35.91,38.84,41.8,44.78,47.77,50.76,30.32,33.31,36.31,39.31,42.26,39.26,36.26,36.94,39.94,42.94,45.94,48.94,51.94,54.94,30.78,33.51,36.44,39.4,42.38,39.46,36.73,37.41,40.14,43.06,46.03,49.01,52,54.99
WP_0004,14.51,13.8,9,6,3,0,3,6,9,18,21,24,27,30,33,36,9.09,6.14,3.27,1.3,3.27,6.14,9.09,18.05,21.04,24.04,27.03,30.03,33.03,36.02,15.68,18.68,21.68,24.68,21.68,18.68,15.68,18.83,21.83,24.83,27.83,30.83,33.83,36.83,16.15,18.88,21.8,24.77,21.8,18.88,16.15,19.28,22.03,24.95,27.92,30.9,33.89,36.88,20.08,23.08,26.08,29.08,26.08,23.08,20.08,21.81,24.81,27.81,30.81,33.81,36.81,39.81,20.55,23.28,26.2,29.17,26.2,23.28,20.55,22.28,25.01,27.93,30.9,33.88,36.87,39.86,24.48,27.48,30.48,33.48,30.48,27.48,24.48,25.63,28.63,31.63,34.63,37.63,40.63,43.63,24.95,27.68,30.6,33.57,30.6,27.68,24.95,26.1,28.83,31.75,34.72,37.7,40.69,43.68,28.88,31.88,34.88,37.88,34.88,31.88,28.88,29.74,32.73,35.73,38.73,41.73,44.73,47.73,29.35,32.08,35,37.97,35,32.08,29.35,30.2,32.93,35.86,38.82,41.8,44.79,47.78,33.28,36.28,39.28,42.28,39.28,36.28,33.28,33.96,36.96,39.96,42.96,45.96,48.96,51.96,33.75,36.48,39.4,42.37,39.4,36.48,33.75,34.43,37.15,40.08,43.05,46.03,49.01,52.01
WP_0005,11.51,10.8,12,9,6,3,0,3,6,15,18,21,24,27,30,33,12.07,9.09,6.14,3.27,1.3,3.27,6.14,15.06,18.05,21.04,24.04,27.03,30.03,33.03,18.66,21.66,24.66,21.71,18.71,15.71,12.72,15.87,18.87,21.86,24.86,27.86,30.86,33.86,19.13,21.86,24.78,21.8,18.84,15.91,13.18,16.32,19.06,21.99,24.95,27.93,30.92,33.91,23.06,26.06,29.06,26.11,23.11,20.11,17.12,18.84,21.84,24.84,27.84,30.84,33.84,36.84,23.53,26.26,29.18,26.2,23.24,20.31,17.58,19.31,22.04,24.96,27.93,30.91,33.9,36.89,27.46,30.46,33.46,30.51,27.51,24.51,21.52,22.67,25.66,28.66,31.66,34.66,37.66,40.66,27.93,30.66,33.58,30.6,27.64,24.71,21.98,23.13,25.86,28.79,31.75,34.73,37.72,40.71,31.86,34.86,37.86,34.91,31.91,28.91,25.92,26.77,29.77,32.77,35.77,38.77,41.77,44.77,32.33,35.06,37.98,35,32.04,29.11,26.38,27.24,29.97,32.89,35.86,38.84,41.83,44.82,36.26,39.26,42.26,39.31,36.31,33.31,30.32,30.99,33.99,36.99,39.99,42.99,45.99,48.99,36.73,39.46,42.38,39.4,36.44,33.51,30.78,31.46,34.19,37.11,40.08,43.06,46.05,49.04
WP_0006,8.51,7.8,15,12,9,6,3,0,3,12,15,18,21,24,27,30,15.06,12.07,9.09,6.14,3.27,1.3,3.27,12.07,15.06,18.05,21.04,24.04,27.03,30.03,21.65,24.65,21.79,18.79,15.79,12.79,9.79,12.94,15.94,18.94,21.94,24.94,27.94,30.94,22.12,24.85,21.86,18.88,15.91,12.99,10.26,13.39,16.14,19.06,22.03,25.01,28,30.99,26.05,29.05,26.19,23.19,20.19,17.19,14.19,15.92,18.92,21.92,24.92,27.92,30.92,33.92,26.52,29.25,26.26,23.28,20.31,17.39,14.66,16.39,19.11,22.04,25.01,27.99,30.97,33.96,30.45,33.45,30.59,27.59,24.59,21.59,18.59,19.74,22.74,25.74,28.74,31.74,34.74,37.74,30.92,33.65,30.66,27.68,24.71,21.79,19.06,20.21,22.94,25.86,28.83,31.81,34.79,37.79,34.85,37.85,34.99,31.99,28.99,25.99,22.99,23.84,26.84,29.84,32.84,35.84,38.84,41.84,35.32,38.05,35.06,32.08,29.11,26.19,23.46,24.31,27.04,29.97,32.93,35.91,38.9,41.89,39.25,42.25,39.39,36.39,33.39,30.39,27.39,28.07,31.07,34.07,37.07,40.07,43.07,46.07,39.72,42.45,39.46,36.48,33.51,30.59,27.86,28.54,31.26,34.19,37.15,40.14,43.12,46.11
WP_0007,5.51,4.8,18,15,12,9,6,3,0,9,12,15,18,21,24,27,18.05,15.06,12.07,9.09,6.14,3.27,1.3,9.09,12.07,15.06,18.05,21.04,24.04,27.03,24.64,22.06,19.06,16.06,13.06,10.06,7.06,10.2,13.19,16.19,19.19,22.19,25.19,28.19,25.11,22.12,19.13,16.15,13.18,10.26,7.53,10.65,13.39,16.32,19.28,22.26,25.25,28.24,29.04,26.46,23.46,20.46,17.46,14.46,11.46,13.19,16.19,19.19,22.19,25.19,28.19,31.19,29.51,26.52,23.53,20.55,17.58,14.66,11.93,13.66,16.39,19.31,22.28,25.26,28.25,31.24,33.44,30.86,27.86,24.86,21.86,18.86,15.86,17.01,20.01,23.01,26.01,29.01,32.01,35.01,33.91,30.92,27.93,24.95,21.98,19.06,16.33,17.48,20.21,23.13,26.1,29.08,32.07,35.06,37.84,35.26,32.26,29.26,26.26,23.26,20.26,21.12,24.12,27.11,30.11,33.11,36.11,39.11,38.31,35.32,32.33,29.35,26.38,23.46,20.73,21.59,24.31,27.24,30.2,33.18,36.17,39.16,42.24,39.66,36.66,33.66,30.66,27.66,24.66,25.34,28.34,31.34,34.34,37.34,40.34,43.34,42.71,39.72,36.73,33.75,30.78,27.86,25.13,25.81,28.54,31.46,34.43,37.41,40.4,43.39
WP_0008,5.21,6,27,24,21,18,15,12,9,0,3,6,9,12,15,18,27.03,24.04,21.04,18.05,15.06,12.07,9.09,1.3,3.27,6.14,9.09,12.07,15.06,18.05,28.19,25.19,22.19,19.19,16.19,13.19,10.2,7.06,10.06,13.06,16.06,19.06,22.06,24.64,28.24,25.25,22.26,19.28,16.32,13.39,10.65,7.53,10.26,13.18,16.15,19.13,22.12,25.11,31.19,28.19,25.19,22.19,19.19,16.19,13.19,11.46,14.46,17.46,20.46,23.46,26.46,29.04,31.24,28.25,25.26,22.28,19.31,16.39,13.66,11.93,14.66,17.58,20.55,23.53,26.52,29.51,35.01,32.01,29.01,26.01,23.01,20.01,17.01,15.86,18.86,21.86,24.86,27.86,30.86,33.44,35.06,32.07,29.08,26.1,23.13,20.21,17.48,16.33,19.06,21.98,24.95,27.93,30.92,33.91,39.11,36.11,33.11,30.11,27.11,24.12,21.12,20.26,23.26,26.26,29.26,32.26,35.26,37.84,39.16,36.17,33.18,30.2,27.24,24.31,21.59,20.73,23.46,26.38,29.35,32.33,35.32,38.31,43.34,40.34,37.34,34.34,31.34,28.34,25.34,24.66,27.66,30.66,33.66,36.66,39.66,42.24,43.39,40.4,37.41,34.43,31.46,28.54,25.81,25.13,27.86,30.78,33.75,36.73,39.72,42.71
