ORD_NO,SKU_CD,NUM_PCS,LOC,CART_NO,SEQ
ORD_0004,SKU_0180,1,WP_0009,1,1
ORD_0001,SKU_0246,1,WP_0024,1,2
ORD_0002,SKU_0156,1,WP_0036,1,3
ORD_0002,SKU_0123,1,WP_0036,1,4
ORD_0003,SKU_0272,1,WP_0061,1,5
ORD_0004,SKU_0144,1,WP_0126,1,6
ORD_0004,SKU_0097,1,WP_0126,1,7
ORD_0001,SKU_0267,1,WP_0129,1,8
ORD_0003,SKU_0057,1,WP_0130,1,9
ORD_0004,SKU_0037,1,WP_0132,1,10
ORD_0002,SKU_0063,1,WP_0138,1,11
ORD_0002,SKU_0047,1,WP_0138,1,12
ORD_0002,SKU_0005,1,WP_0152,1,13
ORD_0008,SKU_0228,1,WP_0012,2,1
ORD_0008,SKU_0237,1,WP_0013,2,2
ORD_0008,SKU_0127,1,WP_0025,2,3
ORD_0005,SKU_0183,1,WP_0038,2,4
ORD_0005,SKU_0151,1,WP_0047,2,5
ORD_0008,SKU_0208,1,WP_0051,2,6
ORD_0008,SKU_0286,1,WP_0065,2,7
ORD_0007,SKU_0319,1,WP_0066,2,8
ORD_0005,SKU_0175,1,WP_0089,2,9
ORD_0005,SKU_0315,1,WP_0089,2,10
ORD_0006,SKU_0023,1,WP_0100,2,11
ORD_0007,SKU_0211,1,WP_0167,2,12
ORD_0012,SKU_0007,1,WP_0024,3,1
ORD_0011,SKU_0317,1,WP_0031,3,2
ORD_0010,SKU_0100,1,WP_0050,3,3
ORD_0010,SKU_0286,1,WP_0065,3,4
ORD_0012,SKU_0076,1,WP_0070,3,5
ORD_0012,SKU_0148,1,WP_0070,3,6
ORD_0011,SKU_0305,1,WP_0078,3,7
ORD_0009,SKU_0268,1,WP_0147,3,8
ORD_0010,SKU_0259,1,WP_0153,3,9
ORD_0013,SKU_0143,1,WP_0010,4,1
ORD_0014,SKU_0274,1,WP_0016,4,2
ORD_0016,SKU_0068,1,WP_0033,4,3
ORD_0016,SKU_0068,1,WP_0033,4,4
ORD_0015,SKU_0048,1,WP_0035,4,5
ORD_0015,SKU_0066,1,WP_0035,4,6
ORD_0014,SKU_0235,1,WP_0086,4,7
ORD_0015,SKU_0326,1,WP_0104,4,8
ORD_0015,SKU_0112,1,WP_0106,4,9
ORD_0015,SKU_0296,1,WP_0106,4,10
ORD_0016,SKU_0244,1,WP_0159,4,11
ORD_0019,SKU_0053,1,WP_0008,5,1
ORD_0018,SKU_0202,1,WP_0014,5,2
ORD_0018,SKU_0307,1,WP_0021,5,3
ORD_0020,SKU_0029,1,WP_0034,5,4
ORD_0020,SKU_0158,1,WP_0039,5,5
ORD_0020,SKU_0204,1,WP_0058,5,6
ORD_0020,SKU_0294,1,WP_0058,5,7
ORD_0019,SKU_0309,1,WP_0064,5,8
ORD_0019,SKU_0315,1,WP_0089,5,9
ORD_0017,SKU_0112,1,WP_0106,5,10
ORD_0018,SKU_0221,1,WP_0132,5,11
ORD_0024,SKU_0285,1,WP_0045,6,1
ORD_0023,SKU_0185,1,WP_0046,6,2
ORD_0022,SKU_0256,1,WP_0081,6,3
ORD_0023,SKU_0277,1,WP_0092,6,4
ORD_0023,SKU_0277,1,WP_0092,6,5
ORD_0023,SKU_0297,1,WP_0092,6,6
ORD_0021,SKU_0030,1,WP_0147,6,7
ORD_0023,SKU_0038,1,WP_0148,6,8
ORD_0025,SKU_0291,1,WP_0002,7,1
ORD_0026,SKU_0291,1,WP_0002,7,2
ORD_0028,SKU_0074,1,WP_0006,7,3
ORD_0025,SKU_0029,1,WP_0034,7,4
ORD_0025,SKU_0138,1,WP_0034,7,5
ORD_0025,SKU_0308,1,WP_0042,7,6
ORD_0027,SKU_0100,1,WP_0050,7,7
ORD_0026,SKU_0121,1,WP_0077,7,8
ORD_0026,SKU_0040,1,WP_0077,7,9
ORD_0028,SKU_0031,1,WP_0096,7,10
ORD_0025,SKU_0226,1,WP_0109,7,11
ORD_0026,SKU_0266,1,WP_0119,7,12
ORD_0026,SKU_0134,1,WP_0146,7,13
ORD_0031,SKU_0016,1,WP_0003,8,1
ORD_0032,SKU_0302,1,WP_0013,8,2
ORD_0030,SKU_0242,1,WP_0015,8,3
ORD_0032,SKU_0138,1,WP_0034,8,4
ORD_0030,SKU_0191,1,WP_0052,8,5
ORD_0032,SKU_0218,1,WP_0079,8,6
ORD_0032,SKU_0108,1,WP_0086,8,7
ORD_0029,SKU_0232,1,WP_0093,8,8
ORD_0030,SKU_0243,1,WP_0094,8,9
ORD_0030,SKU_0205,1,WP_0094,8,10
ORD_0031,SKU_0301,1,WP_0113,8,11
ORD_0029,SKU_0203,1,WP_0122,8,12
ORD_0030,SKU_0203,1,WP_0122,8,13
ORD_0032,SKU_0278,1,WP_0153,8,14
ORD_0036,SKU_0291,1,WP_0002,9,1
ORD_0036,SKU_0053,1,WP_0008,9,2
ORD_0036,SKU_0260,1,WP_0009,9,3
ORD_0034,SKU_0115,1,WP_0039,9,4
ORD_0035,SKU_0325,1,WP_0080,9,5
ORD_0033,SKU_0060,1,WP_0083,9,6
ORD_0035,SKU_0235,1,WP_0086,9,7
ORD_0033,SKU_0193,1,WP_0102,9,8
ORD_0036,SKU_0114,1,WP_0105,9,9
ORD_0034,SKU_0239,1,WP_0108,9,10
ORD_0034,SKU_0092,1,WP_0111,9,11
ORD_0033,SKU_0010,1,WP_0163,9,12
ORD_0040,SKU_0050,1,WP_0002,10,1
ORD_0039,SKU_0251,1,WP_0003,10,2
ORD_0037,SKU_0025,1,WP_0011,10,3
ORD_0039,SKU_0302,1,WP_0013,10,4
ORD_0039,SKU_0131,1,WP_0025,10,5
ORD_0039,SKU_0127,1,WP_0025,10,6
ORD_0039,SKU_0151,1,WP_0047,10,7
ORD_0038,SKU_0017,1,WP_0075,10,8
ORD_0040,SKU_0200,1,WP_0076,10,9
ORD_0040,SKU_0234,1,WP_0097,10,10
ORD_0042,SKU_0288,1,WP_0005,11,1
ORD_0041,SKU_0032,1,WP_0037,11,2
ORD_0041,SKU_0101,1,WP_0048,11,3
ORD_0043,SKU_0093,1,WP_0050,11,4
ORD_0043,SKU_0100,1,WP_0050,11,5
ORD_0044,SKU_0208,1,WP_0051,11,6
ORD_0044,SKU_0142,1,WP_0068,11,7
ORD_0043,SKU_0172,1,WP_0091,11,8
ORD_0042,SKU_0089,1,WP_0093,11,9
ORD_0041,SKU_0213,1,WP_0117,11,10
ORD_0043,SKU_0012,1,WP_0117,11,11
ORD_0043,SKU_0213,1,WP_0117,11,12
ORD_0046,SKU_0016,1,WP_0003,12,1
ORD_0046,SKU_0251,1,WP_0003,12,2
ORD_0047,SKU_0180,1,WP_0009,12,3
ORD_0046,SKU_0018,1,WP_0014,12,4
ORD_0046,SKU_0303,1,WP_0054,12,5
ORD_0046,SKU_0293,1,WP_0066,12,6
ORD_0048,SKU_0130,1,WP_0067,12,7
ORD_0045,SKU_0277,1,WP_0092,12,8
ORD_0045,SKU_0089,1,WP_0093,12,9
ORD_0045,SKU_0173,1,WP_0109,12,10
ORD_0048,SKU_0233,1,WP_0125,12,11
ORD_0049,SKU_0251,1,WP_0003,13,1
ORD_0051,SKU_0292,1,WP_0018,13,2
ORD_0052,SKU_0062,1,WP_0028,13,3
ORD_0049,SKU_0265,1,WP_0032,13,4
ORD_0052,SKU_0045,1,WP_0038,13,5
ORD_0050,SKU_0285,1,WP_0045,13,6
ORD_0050,SKU_0054,1,WP_0045,13,7
ORD_0049,SKU_0035,1,WP_0053,13,8
ORD_0051,SKU_0036,1,WP_0054,13,9
ORD_0052,SKU_0309,1,WP_0064,13,10
ORD_0051,SKU_0070,1,WP_0069,13,11
ORD_0050,SKU_0200,1,WP_0076,13,12
ORD_0051,SKU_0091,1,WP_0085,13,13
ORD_0052,SKU_0252,1,WP_0121,13,14
ORD_0052,SKU_0039,1,WP_0165,13,15
ORD_0056,SKU_0190,1,WP_0001,14,1
ORD_0053,SKU_0153,1,WP_0015,14,2
ORD_0053,SKU_0242,1,WP_0015,14,3
ORD_0056,SKU_0274,1,WP_0016,14,4
ORD_0055,SKU_0255,1,WP_0022,14,5
ORD_0056,SKU_0058,1,WP_0043,14,6
ORD_0054,SKU_0254,1,WP_0047,14,7
ORD_0054,SKU_0281,1,WP_0072,14,8
